banda,N,lambda_a,gamma3,lamA_narc,lamA_mach,omegaHS_alpha,alpha_viable,power
central_empirico,250,0.35,0.1,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,250,0.35,0.15,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,300,0.35,0.1,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,300,0.35,0.15,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,350,0.35,0.1,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,350,0.35,0.15,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,450,0.35,0.1,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,450,0.35,0.15,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,500,0.35,0.1,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,500,0.35,0.15,0.35,0.2,0.48,SI,PENDIENTE: correr LMS
central_empirico,250,0.4,0.1,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,250,0.4,0.15,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,300,0.4,0.1,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,300,0.4,0.15,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,350,0.4,0.1,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,350,0.4,0.15,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,450,0.4,0.1,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,450,0.4,0.15,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,500,0.4,0.1,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,500,0.4,0.15,0.35,0.2,0.552,SI,PENDIENTE: correr LMS
central_empirico,250,0.45,0.1,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,250,0.45,0.15,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,300,0.45,0.1,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,300,0.45,0.15,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,350,0.45,0.1,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,350,0.45,0.15,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,450,0.45,0.1,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,450,0.45,0.15,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,500,0.45,0.1,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
central_empirico,500,0.45,0.15,0.35,0.2,0.615,SI,PENDIENTE: correr LMS
