"cell","bloque","N","lambda_a","gamma3","gamma11","n_interacciones","method","n_rep","n_valid","conv_rate","pct_heywood","g3_metrica_modelo","power_g3","mc_se_g3","power_g3_ic_lo","power_g3_ic_hi","bias_abs_g3","bias_rel_g3","emp_SE_g3","mean_SE_g3","razon_SE_g3","coverage_g3","g11_metrica_modelo","power_g11","mc_se_g11","power_g11_ic_lo","power_g11_ic_hi","bias_abs_g11","bias_rel_g11","emp_SE_g11","mean_SE_g11","razon_SE_g11","coverage_g11","seg_por_replica","min_por_celda","fiable","corr_FORM_PEH"
31,"A_ancla_comparacion",350,0.4,0.1,-0.1,2,"qml",300,300,1,0,0.2333,0.256666666666667,0.0252,0.2072,0.3061,-0.00244803447515254,-0.0104915763220823,0.167263451938972,0.173224139264354,1.036,0.966666666666667,-0.175,0.33,0.0271,0.2768,0.3832,0.00267610280860886,-0.0152920160491935,0.11859460617652,0.115851745117619,0.977,0.943333333333333,10.89,54.4,"SI",0
32,"A_ancla_comparacion",350,0.4,0.15,-0.15,2,"qml",300,300,1,0,0.35,0.506666666666667,0.0289,0.4501,0.5632,-0.0140594275878708,-0.0401697931082023,0.18221983967293,0.173863814770064,0.954,0.926666666666667,-0.2625,0.646666666666667,0.0276,0.5926,0.7008,0.00588997869398478,-0.0224380140723229,0.116626166206676,0.11585752399874,0.993,0.95,10.91,54.5,"SI",0
33,"A_ancla_comparacion",450,0.4,0.1,-0.1,2,"qml",300,300,1,0,0.2333,0.323333333333333,0.027,0.2704,0.3763,-0.00161861716357795,-0.00693693070104839,0.153671186214847,0.148069003247447,0.964,0.95,-0.175,0.39,0.0282,0.3348,0.4452,0.00648209313670664,-0.0370405322097522,0.104089936047448,0.0985756559786471,0.947,0.953333333333333,11.68,58.4,"SI",0
34,"A_ancla_comparacion",450,0.4,0.15,-0.15,2,"qml",300,300,1,0,0.35,0.673333333333333,0.0271,0.6203,0.7264,0.0113390284271487,0.0323972240775678,0.157978016718525,0.154969305545712,0.981,0.953333333333333,-0.2625,0.77,0.0243,0.7224,0.8176,-0.0043148917146224,0.0164376827223711,0.10409979631629,0.103387772038223,0.993,0.96,12.06,60.3,"SI",0
35,"B_extension_N_g3_15",550,0.4,0.15,-0.15,2,"qml",300,300,1,0,0.35,0.703333333333333,0.0264,0.6516,0.755,-0.00920711878130093,-0.0263060536608598,0.146468851894289,0.137426772853953,0.938,0.95,-0.2625,0.83,0.0217,0.7875,0.8725,-0.000752994486401981,0.00286855042438861,0.0934701693661243,0.0917959713492983,0.982,0.956666666666667,12.82,64.1,"SI",0
36,"B_extension_N_g3_15",700,0.4,0.15,-0.15,2,"qml",300,300,1,0,0.35,0.826666666666667,0.0219,0.7838,0.8695,-0.014009662878218,-0.0400276082234801,0.118718119480741,0.120487849385647,1.015,0.97,-0.2625,0.926666666666667,0.0151,0.8972,0.9562,0.00200880260581082,-0.00765258135546976,0.0783755118577168,0.0804327520879028,1.026,0.943333333333333,14.31,71.6,"SI",0
37,"B_extension_N_g3_15",900,0.4,0.15,-0.15,2,"qml",300,300,1,0,0.35,0.943333333333333,0.0133,0.9172,0.9695,0.00511474524723998,0.014613557849257,0.104288199582154,0.106797546315191,1.024,0.963333333333333,-0.2625,0.96,0.0113,0.9378,0.9822,0.00874038481201134,-0.0332967040457575,0.0709832012207763,0.0706725344573734,0.996,0.946666666666667,16.33,81.7,"SI",0
38,"C_acotar_g3_10",550,0.4,0.1,-0.1,2,"qml",300,300,1,0,0.2333,0.396666666666667,0.0282,0.3413,0.452,-0.0124512452301311,-0.0533624795577047,0.136119470303618,0.134775451062194,0.99,0.946666666666667,-0.175,0.466666666666667,0.0288,0.4102,0.5231,0.0020944171065469,-0.0119680977516966,0.0893660063775032,0.0898090372909902,1.005,0.96,12.75,63.7,"SI",0
39,"C_acotar_g3_10",700,0.4,0.1,-0.1,2,"qml",300,300,1,0,0.2333,0.57,0.0286,0.514,0.626,0.0111426834804609,0.0477543577734039,0.119266305997314,0.117195691134825,0.983,0.953333333333333,-0.175,0.64,0.0277,0.5857,0.6943,-0.000219715904284573,0.0012555194530548,0.0768178187112072,0.0782491363954193,1.019,0.966666666666667,14.14,70.7,"SI",0
40,"C_acotar_g3_10",900,0.4,0.1,-0.1,2,"qml",300,300,1,0,0.2333,0.636666666666667,0.0278,0.5822,0.6911,0.00128864655220259,0.00552277093801101,0.0967816492715916,0.103568968401804,1.07,0.973333333333333,-0.175,0.733333333333333,0.0255,0.6833,0.7834,0.0036457303417097,-0.0208327448097697,0.0625119847633062,0.0688954850982645,1.102,0.97,15.87,79.4,"SI",0
